Category,Title,Intro,Image,Credits (sources),Tags,URL
"Enviro, Climat",Changement climatique : une perspective plus large que la réduction des gaz à effet de serre,"Selon une nouvelle étude publiée dans  , les stratégies que l’humanité doit adopter pour réduire le changement climatique devront aller au-delà de la simple réduction des gaz à effet de serre. Cette conclusion provient d’une analyse des données climatiques dirigée par le chercheur James Hansen. Roger Revelle",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73377.jpg,,"aerosol, changement climatique, climat, politique environnementale, Rechauffement global",https://www.enerzine.com/changement-climatique-une-perspective-plus-large-que-la-reduction-des-gaz-a-effet-de-serre/73377-2023-11
"Guide, Jardinage",Pulvérisateurs électriques  : l’arme fatale pour éliminer les nuisibles de votre jardin,"L’automne est la saison idéale pour préparer son jardin avant l’hiver. Il sera peut être le temps d’effectuer bientôt les derniers traitements sur les plantes et arbres afin qu’ils résistent au froid. Pour répandre efficacement les produits nécessaires, le pulvérisateur reste un outil indispensable. printemps  entre mars et mai automne  septembre-octobre été L’hiver est une période de repos végétatif Pour un petit jardin Pour un jardin moyen Pour un grand jardin",https://www.enerzine.com/wp-content/uploads/2023/09/arti_65825.jpg,,,https://www.enerzine.com/pulverisateurs-electriques-larme-fatale-pour-eliminer-les-nuisibles-de-votre-jardin/65825-2023-09
"Techno, Matériaux",La miniaturisation des composants électroniques : un défi de taille,"Le diamant d’une bague de fiançailles, le matériau révolutionnaire qu’est le graphène et le “plomb” d’un simple crayon sont tous formés de carbone, mais présentent des caractéristiques profondément différentes. Les matériaux à base de carbone comme ceux-ci sont parmi les exemples les plus célèbres de la manière dont des propriétés diverses peuvent émerger dans les matériaux, basées uniquement sur la réorganisation de la structure des atomes. Centre RIKEN pour la Science des Matières Émergentes ( ) CEMS  emballer 10 000 skyrmions dans seulement 1 μm2 (micromètre carré) skyrmions  écoénergétiques héliomagnètes  586, 118 (33),",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73566.jpg,,"carbone, CEMS, inducteur, materiaux, skyrmion",https://www.enerzine.com/la-miniaturisation-des-composants-electroniques-un-defi-de-taille/73566-2023-11
"Enviro, Carbone","La fixation du dioxyde de carbone, un défi pour la science fondamentale","Un projet de recherche ambitieux a reçu une subvention substantielle du Département de l’énergie des États-Unis. Ce projet vise à étudier les mécanismes de fixation du dioxyde de carbone, une piste prometteuse pour réduire la quantité de carbone dans l’atmosphère et lutter contre le réchauffement climatique.",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73374.jpg,"Source : Département de chimie et biochimie, Dodge Family College of Arts and Sciences, Université de l’Oklahoma","carbone, carburant, dechet, dioxyde, fixation, valorisation",https://www.enerzine.com/la-fixation-du-dioxyde-de-carbone-un-defi-pour-la-science-fondamentale/73374-2023-11
"Renouvelable, Solaire",L’énergie solaire peut-elle alimenter toutes les maisons européennes ?,"Dans un monde de plus en plus conscient de l’importance de l’énergie renouvelable, une étude récente a révélé que 53% des maisons individuelles en Europe auraient pu satisfaire tous leurs besoins énergétiques en 2020 en utilisant uniquement le rayonnement solaire local. Cette faisabilité technique pourrait augmenter à 75% en 2050.  5% (deux millions) des 41 millions de maisons individuelles en Europe 53% des maisons auraient pu techniquement atteindre l’autosuffisance énergétique en 2020 pour un bâtiment représentatif en Allemagne, les chercheurs ont estimé qu’il aurait été optimal d’être à 73% autosuffisant en 2020 et à 78% autosuffisant en 2050.",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73503.jpg,"Source : Kleinebrahm, M. et al. (2023). Energy self-sufficiency in European single-family homes. Joule.","Autosuffisance, economie, energie, europe, solaire",https://www.enerzine.com/lenergie-solaire-peut-elle-alimenter-toutes-les-maisons-europeennes/73503-2023-11
"Techno, Matériaux",Des smartphones transparents ? C’est peut-être pour bientôt,"Les conducteurs transparents sont essentiels pour de nombreux dispositifs, tels que les écrans tactiles et les cellules solaires. L’iodure de cuivre (CuI) peut conduire l’électricité tout en restant transparent, mais n’est pas aussi performant que certains autres matériaux.   p-types n-types",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73568.jpg,,"conducteur, conductivite, cuivre, electronique, Iodure, soufre, transparence, transparent",https://www.enerzine.com/des-smartphones-transparents-cest-peut-etre-pour-bientot/73568-2023-11
Techno,Un capteur de pH révolutionnaire : une nouvelle arme contre le cancer,"La mesure du pH des substances nous offre des indices essentiels sur le monde qui nous entoure, comme l’identification de l’eau contaminée ou la vérification de la toxicité des produits médicaux ou cosmétiques. Souvent, seules de petites quantités d’échantillons sont disponibles, mais surveiller la variation du pH dans ces minuscules volumes est important.  biosenseurs électrochimiques",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73567.jpg,,"cancer, capteur, contamination, microfluidique, ph",https://www.enerzine.com/un-capteur-de-ph-revolutionnaire-une-nouvelle-arme-contre-le-cancer/73567-2023-11
"Mobilité, Spatial",La reconnexion magnétique en 3D : une clé pour la propulsion spatiale future ?,"Deux chercheurs de la Faculté d’ingénierie de l’Université de l’Alabama à Huntsville ( ) ont reçu une subvention pour étudier la reconnexion magnétique en 3D. Ce phénomène, au cœur de nombreux événements solaires tels que les éruptions solaires, implique la rupture et la reconnexion de lignes de champ magnétique dirigées en sens opposé.  canon à plasma coaxial ",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73677.jpg,,"3d, magnetique, plasma, propulsion, Reconnexion",https://www.enerzine.com/la-reconnexion-magnetique-en-3d-une-cle-pour-la-propulsion-spatiale-future/73677-2023-11
"Enviro, Santé",Un capteur ECG qui tient dans la paume pourrait réduire le nombre de crises cardiaques,"Un nouveau capteur d’électrocardiogramme (ECG) compact, léger, sans gel et étanche offre plus de confort et moins d’irritation cutanée par rapport aux dispositifs de surveillance cardiaque similaires sur le marché. ",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73569.jpg,,"capteur, ECG, maladie cardiovasculaire, prevention, RMIT",https://www.enerzine.com/un-capteur-ecg-qui-tient-dans-la-paume-pourrait-reduire-le-nombre-de-crises-cardiaques/73569-2023-11
"Energie, Non Renouvelable, Nucléaire",Peut-on rendre un collisionneur de particules plus économe en énergie ?,"Depuis la découverte du boson de Higgs en 2012, les physiciens ont cherché à construire de nouveaux accélérateurs de particules pour mieux comprendre les propriétés de cette particule insaisissable et sonder la physique des particules élémentaires à des échelles d’énergie toujours plus élevées. Cela nécessite beaucoup d’énergie.  ces améliorations pourraient réduire les besoins en énergie du C3 de 150 mégawatts à peut-être 77 mégawatts huit kilomètres de long Compact Linear Collider Compact Linear Collider",https://www.enerzine.com/wp-content/uploads/2023/11/arti_73702.jpg,,"accelerateur, c3, carbone, empreinte, energie, particule, physique",https://www.enerzine.com/peut-on-rendre-un-collisionneur-de-particules-plus-econome-en-energie/73702-2023-11
