Name,Reviews Count,Saves Count,Rating,Address,Genre,Business Hours,Number of Seats,Phone Number,URL
和食れすとらん天狗 吉川店,14,153,3.03,埼玉県 吉川市 保 1-14-14,居酒屋、日本料理、焼き鳥,"営業時間
月～木曜日
11：30～22：00
金、土曜日
11：30～22：30
日曜日・祝日
11：30～22：00
※年末年始、GW、お盆期間は営業日、営業時間が異なる場合がございます。詳しくはテンアライド㈱ホームページにてご確認ください。 
日曜営業
定休日
12月31日/１月１日",122席,048-983-1770,https://tabelog.com/saitama/A1102/A110205/11005218/
ダナパニ イオンタウン吉川美南,18,164,3.15,埼玉県 吉川市 美南 3-23-1 イオンタウン吉川美南店 1F,インド料理、インドカレー,"営業時間
ランチ
11:00～16:00
ディナー
16:00～22:00
日曜営業
定休日
イオンタウン吉川美南に準拠",52席,,https://tabelog.com/saitama/A1102/A110205/11049215/
青木屋,11,161,3.07,埼玉県 吉川市 中井 3-221-2,ラーメン、日本料理,"営業時間
10:50～14:00
16:30～19:00
日曜営業
定休日
火曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/saitama/A1102/A110205/11025084/
光月軒,12,101,3.07,埼玉県 吉川市 大字保558-3,ラーメン、中華料理,"定休日
火曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/saitama/A1102/A110205/11020727/
うなぎ創作 鰻樹,35,3830,3.52,埼玉県 吉川市 木売 2-9-7 2F,日本料理、うなぎ、創作料理,"営業時間
11：30-14：00（L.O.13：30）
17：00-22：00（L.O.21：00）
日曜営業
定休日
木曜日",18席,,https://tabelog.com/saitama/A1102/A110205/11040003/
スローフード 隠家,6,139,3.02,埼玉県 吉川市 木売 3-1-1 戸張マンション 1F,居酒屋、焼き鳥,"営業時間
日、火〜木
17:00〜24:00 Ｌ.O 23:00
金、土、祝前日は
17:00～翌01:00 Ｌ.O 24:00
日曜営業
定休日
月曜日",24席,048-971-8483,https://tabelog.com/saitama/A1102/A110205/11043651/
倫, - ,111,-,埼玉県 吉川市 木売 1-9-12 STビル 3F,居酒屋、ビアバー,"営業時間
[月・水・木] 18:00～24:00
[金・土] 18:00～翌2:00
[日] 18:00～24:00
日曜営業
定休日
火曜日",69席,048-940-7391,https://tabelog.com/saitama/A1102/A110205/11038847/
製麺練場 風布うどん,160,3840,3.48,埼玉県 吉川市 川藤 1805,うどん,"営業時間
[火〜日]11:00～15:00
うどんなくなり次第終了
日曜営業
定休日
月曜日
（月曜日が祝日の場合は臨時休業の場合もあります)

【G.W 休業日】
2023年5月1日(月)〜5日(金)",32席,,https://tabelog.com/saitama/A1102/A110205/11019213/
金沢まいもん寿司 吉川美南店,36,912,3.05,埼玉県 吉川市 美南 3-25-1 イオンタウン吉川美南 東街区 2F,回転寿司、寿司、海鮮,"営業時間
【営業時間のお知らせ】
11:00～22:00（L.O21:00）
※6/28は臨時休業
日曜営業
定休日
不定休",66席,,https://tabelog.com/saitama/A1102/A110205/11055300/
上海菜館 吉川店    ,12,139,3.15,埼玉県 吉川市 保 1-30-7,中華料理,"営業時間
11:30～22:00(L.O.21:30)
※営業時間・定休日が記載と異なる場合があります。ご来店時は事前に店舗にご確認ください。
日曜営業
定休日
無休",106席,048-983-3301,https://tabelog.com/saitama/A1102/A110205/11019550/
