Name,Reviews Count,Saves Count,Address,Genre,Business Hours,Number of Seats,Phone Number,URL
茶居夢,10,164,埼玉県 吉川市 高富 2-9-1 ブライトシャイン 101,カフェ,"営業時間
11:00～19:00（L.O.18:30）
ランチ14:30まで
日曜営業
定休日
水曜日、不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/saitama/A1102/A110205/11043637/
和食れすとらん天狗 吉川店,14,153,埼玉県 吉川市 保 1-14-14,居酒屋、日本料理、焼き鳥,"営業時間
月～木曜日
11：30～22：00
金、土曜日
11：30～22：30
日曜日・祝日
11：30～22：00
※年末年始、GW、お盆期間は営業日、営業時間が異なる場合がございます。詳しくはテンアライド㈱ホームページにてご確認ください。 
日曜営業
定休日
12月31日/１月１日",122席,048-983-1770,https://tabelog.com/saitama/A1102/A110205/11005218/
光月軒,12,101,埼玉県 吉川市 大字保558-3,ラーメン、中華料理,"定休日
火曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/saitama/A1102/A110205/11020727/
居酒屋やっちゃば,22,361,埼玉県 吉川市 木売 3-1-12,居酒屋,"営業時間
［火～日］
17:00~22:00
日曜営業
定休日
月曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/saitama/A1102/A110205/11019741/
倫, - ,111,埼玉県 吉川市 木売 1-9-12 STビル 3F,居酒屋、ビアバー,"営業時間
[月・水・木] 18:00～24:00
[金・土] 18:00～翌2:00
[日] 18:00～24:00
日曜営業
定休日
火曜日",69席,048-940-7391,https://tabelog.com/saitama/A1102/A110205/11038847/
コヤノ,49,1223,埼玉県 吉川市 栄町 1463-7,ハンバーグ、オムライス、ステーキ,"営業時間
11：00～23：00
日曜営業
定休日
第1・第3木曜
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",,,https://tabelog.com/saitama/A1102/A110205/11004544/
ラーメン尾ばな,25,272,埼玉県 吉川市 吉屋 2-186,中華料理、ラーメン,"営業時間
11:00～22:30
日曜営業
定休日
木曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。","
                    （約30）
                  ",,https://tabelog.com/saitama/A1102/A110205/11028347/
スローフード 隠家,6,139,埼玉県 吉川市 木売 3-1-1 戸張マンション 1F,居酒屋、焼き鳥,"営業時間
日、火〜木
17:00〜24:00 Ｌ.O 23:00
金、土、祝前日は
17:00～翌01:00 Ｌ.O 24:00
日曜営業
定休日
月曜日",24席,048-971-8483,https://tabelog.com/saitama/A1102/A110205/11043651/
金沢まいもん寿司 吉川美南店,35,911,埼玉県 吉川市 美南 3-25-1 イオンタウン吉川美南 東街区 2F,回転寿司、寿司、海鮮,"営業時間
【営業時間のお知らせ】
11:00～22:00（L.O21:00）
※6/28は臨時休業
日曜営業
定休日
不定休",66席,,https://tabelog.com/saitama/A1102/A110205/11055300/
上海菜館 吉川店    ,12,139,埼玉県 吉川市 保 1-30-7,中華料理,"営業時間
11:30～22:00(L.O.21:30)
※営業時間・定休日が記載と異なる場合があります。ご来店時は事前に店舗にご確認ください。
日曜営業
定休日
無休",106席,048-983-3301,https://tabelog.com/saitama/A1102/A110205/11019550/
