Category,Title,Intro,Image,Credits (sources),Tags,Article URL
"Guide, Jardinage",Pulvérisateurs électriques  : l’arme fatale pour éliminer les nuisibles de votre jardin,"L’automne est la saison idéale pour préparer son jardin avant l’hiver. Il sera peut être le temps d’effectuer bientôt les derniers traitements sur les plantes et arbres afin qu’ils résistent au froid. Pour répandre efficacement les produits nécessaires, le pulvérisateur reste un outil indispensable. printemps  entre mars et mai automne  septembre-octobre été L’hiver est une période de repos végétatif Pour un petit jardin Pour un jardin moyen Pour un grand jardin",https://www.enerzine.com/wp-content/uploads/2023/09/arti_65825.jpg,,,https://www.enerzine.com/pulverisateurs-electriques-larme-fatale-pour-eliminer-les-nuisibles-de-votre-jardin/65825-2023-09
"Techno, Matériaux",L’automatisation réduit le temps de recherche sur l’énergie solaire de 83%,"L’énergie solaire est l’une des voies les plus prometteuses pour alimenter le monde de demain. Cependant, la création de cellules solaires plus efficaces nécessite la découverte de nouveaux matériaux plus performants.   576 échantillons",https://www.enerzine.com/wp-content/uploads/2023/11/arti_72985.jpg,"Source : JACS Au, Université d’Osaka","automatisation, energie solaire, ia, materiaux solaires, recherche",https://www.enerzine.com/lautomatisation-reduit-le-temps-de-recherche-sur-lenergie-solaire-de-83/72985-2023-11
"Techno, Matériaux",L’impression 3D en microgravité : la clé pour vivre sur Mars ?,"Une équipe de chercheurs et d’étudiants de l’Université de Virginie-Occidentale se penche sur le fonctionnement de l’impression 3D dans un environnement en apesanteur. Leur objectif ? Faciliter l’exploration et l’habitation à long terme dans l’espace, que ce soit sur des vaisseaux spatiaux, la lune ou Mars. ACS Applied Materials and Interfaces",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72990.jpg,,"exploration, impression 3D, microgravite, mousse, spatial, titane",https://www.enerzine.com/limpression-3d-en-microgravite-la-cle-pour-vivre-sur-mars/72990-2023-10
"Techno, Recherche",Micro-gouttelettes : la clé invisible de notre avenir énergétique propre,"Les micro-gouttelettes pourraient être la clé d’un avenir énergétique propre, selon le nouveau projet DROPLETS de l’Institut Beckman pour la science et la technologie avancées. En emballant les réactions électrochimiques dans des formats plus petits que la normale, les chercheurs interdisciplinaires visent à produire de l’hydrogène propre, à séquestrer le dioxyde de carbone et à stocker les énergies renouvelables comme le vent et le solaire de manière économique et durable. 4,5 millions de dollars   invisible à l’œil nu DROPLETS ",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72989.jpg,"Source : Institut Beckman pour la science et la technologie avancées, Département américain de l’énergie","capture, carbone, Droplet, Energy Earthshots, hydrogene, micro-gouttelette",https://www.enerzine.com/micro-gouttelettes-la-cle-invisible-de-notre-avenir-energetique-propre/72989-2023-10
"Guide, Maison",Les moustiques nous aiment-ils tous de la même manière ?,"Les moustiques sont plus qu’un simple désagrément estival. Pour certains d’entre nous, ils semblent être une véritable nuisance, nous ciblant plus que d’autres. Mais pourquoi certains individus sont-ils plus attirés par ces insectes que d’autres ? Des études récentes apportent des réponses fascinantes à cette question. Les moustiques",https://www.enerzine.com/wp-content/uploads/2023/07/arti_61840.jpg,,,https://www.enerzine.com/les-moustiques-nous-aiment-ils-tous-de-la-meme-maniere/61840-2023-07
"Enviro, Carbone",Le formiate : le carburant du futur issu du CO2 ?,"Dans le monde entier, des recherches sont en cours pour trouver des moyens d’extraire le dioxyde de carbone de l’air ou des émissions des centrales électriques et de le transformer en quelque chose d’utile. Une des idées les plus prometteuses est de le transformer en un carburant stable qui peut remplacer les combustibles fossiles dans certaines applications. ",https://www.enerzine.com/wp-content/uploads/2023/10/arti_73095.jpg,,"CO2, conversion, energie, formiate, mit",https://www.enerzine.com/le-formiate-le-carburant-du-futur-issu-du-co2/73095-2023-10
"Techno, Matériaux",Les polymères : des molécules aux miracles de la fabrication,"Les polymères sont des molécules de grande taille, formées par la liaison d’une série de blocs de construction identiques. Ils sont attrayants pour la fabrication car ils sont peu coûteux, faciles à traiter et à modifier. Pour élargir les applications des polymères et améliorer leur durabilité, les scientifiques ont besoin d’une meilleure compréhension de leurs dynamiques structurelles. fabrication additive ou ",https://www.enerzine.com/wp-content/uploads/2023/10/arti_73148.jpg,,"dynamique structurelle, fabrication, modelisation, molecule, polymere",https://www.enerzine.com/les-polymeres-des-molecules-aux-miracles-de-la-fabrication/73148-2023-10
"Techno, Industrie énergie",Une alternative durable à la climatisation mécanique découverte par des chercheurs,"Alors que la planète se réchauffe, la nécessité de créer des environnements de vie frais devient de plus en plus urgente. La climatisation reste une grande contributrice au réchauffement climatique, car les unités utilisent des gaz à effet de serre puissants et beaucoup d’énergie. ",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72988.jpg,,"architecture, climat, recherche, refroidissement, ventilation",https://www.enerzine.com/une-alternative-durable-a-la-climatisation-mecanique-decouverte-par-des-chercheurs/72988-2023-10
"Renouvelable, Hydrogène",Une enzyme modifiée génétiquement pour une production d’hydrogène 100% verte,L’hydrogène est considéré comme un élément clé de la transition énergétique. Sa production par certaines enzymes présentes dans les algues et les bactéries reste en revanche entravée par leur sensibilité à l’oxygène.  [FeFe] hydrogénase,https://www.enerzine.com/wp-content/uploads/2023/10/arti_72987.jpg,,"genetique, H-cluster, hydrogenase, hydrogene, oxygene",https://www.enerzine.com/une-enzyme-modifiee-genetiquement-pour-une-production-dhydrogene-100-verte/72987-2023-10
"Enviro, Circulaire",Des bactéries qui mangent du plastique pour produire du parfum,"Chaque jour, des montagnes de bouteilles en plastique usagées sont jetées, mais des micro-organismes pourraient potentiellement résoudre ce problème. Des chercheurs rapportent maintenant qu’ils ont développé une souche d’E. coli capable de transformer efficacement les déchets de polyéthylène téréphtalate (PET) en acide adipique, un composant utilisé pour fabriquer des matériaux en nylon, des médicaments et des parfums. E. coli E. coli E. coli E. coli E. coli",https://www.enerzine.com/wp-content/uploads/2023/10/arti_72947.jpg,,"acide adipique, acide terephtalique, biosynthese, E. coli",https://www.enerzine.com/des-bacteries-qui-mangent-du-plastique-pour-produire-du-parfum/72947-2023-10
